date,load,temp,weekday,season
2006/1/4,7526.44167,19.5,1,2
2006/1/4,7340.255,19.35,1,2
2006/1/4,7113.48333,19.2,1,2
2006/1/4,6772.77,19.1,1,2
2006/1/4,6490.73167,19.0,1,2
2006/1/4,6332.30333,18.85,1,2
2006/1/4,6252.63333,18.7,1,2
2006/1/4,6232.96667,18.65,1,2
2006/1/4,6250.015,18.6,1,2
2006/1/4,6422.30833,18.5,1,2
2006/1/4,6609.35667,18.4,1,2
2006/1/4,6995.36333,18.7,1,2
2006/1/4,7333.25833,19.0,1,2
2006/1/4,7638.99833,19.55,1,2
2006/1/4,8009.26167,20.1,1,2
2006/1/4,8336.075,20.3,1,2
2006/1/4,8615.20333,20.5,1,2
2006/1/4,8957.15333,20.85,1,2
2006/1/4,9037.27667,21.2,1,2
2006/1/4,9102.865,21.3,1,2
2006/1/4,9115.16167,21.4,1,2
2006/1/4,9092.605,21.45,1,2
2006/1/4,9065.49667,21.5,1,2
2006/1/4,8938.875,20.85,1,2
2006/1/4,8949.79,20.2,1,2
2006/1/4,9016.86833,20.1,1,2
2006/1/4,8940.05667,20.0,1,2
2006/1/4,8884.26667,19.8,1,2
2006/1/4,8863.56167,19.6,1,2
2006/1/4,8838.27167,19.4,1,2
2006/1/4,8890.97333,19.2,1,2
2006/1/4,8917.07667,19.1,1,2
2006/1/4,8864.67667,19.0,1,2
2006/1/4,8871.46167,18.95,1,2
2006/1/4,8787.24833,18.9,1,2
2006/1/4,8569.93833,18.9,1,2
2006/1/4,8497.72167,18.9,1,2
2006/1/4,8284.92167,18.9,1,2
2006/1/4,8122.15333,18.9,1,2
2006/1/4,8243.82333,18.95,1,2
2006/1/4,8328.74,19.0,1,2
2006/1/4,8165.08667,19.15,1,2
2006/1/4,7936.01667,19.3,1,2
2006/1/4,8035.38333,19.55,1,2
2006/1/4,7928.495,19.8,1,2
2006/1/4,7931.40167,19.85,1,2
2006/1/4,7812.46667,19.9,1,2
2006/1/4,7629.6,20.25,1,2
2006/1/5,7467.54167,20.6,1,2
2006/1/5,7270.78833,20.3,1,2
2006/1/5,7066.65333,20.0,1,2
2006/1/5,6712.65667,20.1,1,2
2006/1/5,6408.31,20.2,1,2
2006/1/5,6189.755,20.1,1,2
2006/1/5,6086.95833,20.0,1,2
2006/1/5,6062.905,20.1,1,2
2006/1/5,6095.85667,20.2,1,2
2006/1/5,6240.735,20.35,1,2
2006/1/5,6446.30333,20.5,1,2
2006/1/5,6835.52333,20.85,1,2
2006/1/5,7209.67833,21.2,1,2
2006/1/5,7556.89833,21.55,1,2
2006/1/5,7944.99667,21.9,1,2
2006/1/5,8279.40167,22.25,1,2
2006/1/5,8449.71667,22.6,1,2
2006/1/5,8836.89667,23.2,1,2
2006/1/5,9030.35333,23.8,1,2
2006/1/5,9089.92667,23.9,1,2
2006/1/5,9145.73833,24.0,1,2
2006/1/5,9141.73833,24.0,1,2
2006/1/5,9103.31333,24.0,1,2
2006/1/5,9081.44,23.6,1,2
2006/1/5,9034.89667,23.2,1,2
2006/1/5,9059.28333,23.55,1,2
2006/1/5,9018.345,23.9,1,2
2006/1/5,8929.175,24.75,1,2
2006/1/5,8952.62167,25.6,1,2
2006/1/5,8909.26833,25.95,1,2
